AÑO; CIIU;Descripción;Personas trabajadoras con cobertura (promedio);Total de casos notificados;Casos con días de baja y secuelas incapacitantes;Personas trabajadoras fallecidas;Índice de incidencia [1];Índice de incidencia de casos mortales [2];
2022;264;Fabricación de receptores de radio y televisión. aparatos de grabación y reproducción de sonido y video. y productos conexos;8.162.666.667;491;466;0;57.089;0.000;
2022;265;Fabricación de aparatos e instrumentos para medir. verificar. ensayar. navegar y otros fines. excepto instrumentos de óptica;3149;163;142;0;45.094;0.000;
2022;266;Fabricación de equipo médico y quirúrgico y de aparatos ortopédicos;4.228.833.333;264;220;0;52.024;0.000;
2022;267;Fabricación de instrumentos de óptica y equipo fotográfico;1.119.416.667;57;50;1;44.666;893.322;
2022;268;Fabricación de soportes ópticos y magnéticos;2338.25;212;195;0;83.396;0.000;
2022;271;Fabricación de motores. generadores y transformadores eléctricos y aparatos de distribución y control de la energía eléctrica;1.084.908.333;922;810;1;74.661;92.174;
2022;272;Fabricación de acumuladores. pilas y baterías primarias;2180.25;277;242;0;110.996;0.000;
2022;273;Fabricación de hilos y cables aislados;3.544.916.667;395;346;0;97.605;0.000;
2022;274;Fabricación de lámparas eléctricas y equipo de iluminación;1.975.166.667;184;166;0;84.044;0.000;
2022;275;Fabricación de aparatos de uso doméstico n.c.p.;18366.25;2145;1903;1;103.614;54.448;
2022;279;Fabricación de equipo eléctrico n.c.p.;6.321.166.667;509;448;1;70.873;158.199;
2022;281;Fabricación de maquinaria y equipo de uso general;1.903.858.333;2007;1733;1;91.026;52.525;
2022;282;Fabricación de maquinaria y equipo de uso especial;36252;4130;3630;7;100.132;193.093;
2022;291;Fabricación de vehículos automotores;28189.75;2209;1957;1;69.422;35.474;
2022;292;Fabricación de carrocerías para vehículos automotores; fabricación de remolques y semirremolques;6600;870;769;1;116.515;151.515
2022;293;Fabricación de partes. piezas y accesorios para vehículos automotores y sus motores;3.718.583.333;4316;3823;2;102.808;53.784;
2022;301;Construcción y reparación de buques y embarcaciones;10163;1102;992;1;97.609;98.396;
2022;302;Fabricación y reparación de locomotoras y de material rodante para transporte ferroviario;9.136.666.667;136;117;0;128.055;0.000;
2022;303;Fabricación y reparación de aeronaves;3347.25;54;46;0;13.743;0.000;
2022;309;Fabricación de equipo de transporte n.c.p.;3912.25;467;415;0;106.077;0.000;
2022;310;Fabricación de muebles y colchones;2.191.991.667;2367;2122;4;96.807;182.482;
2022;321;Fabricación de joyas. “bijouterie” y artículos conexos;380.5;14;11;0;28.909;0.000;
2022;322;Fabricación de instrumentos de música;168;17;11;0;65.476;0.000;
2022;323;Fabricación de artículos de deporte;948.25;55;51;0;53.783;0.000;
2022;324;Fabricación de juegos y juguetes;956.25;70;64;0;66.928;0.000;
